radikoID,areaID,stationName
HBC,AREA1,HBC
STV,AREA1,STV
AIR-G,AREA1,AIR-G
NORTHWAVE,AREA1,FM NORTH WAVE
RAB,AREA1,RAB青森放送
AFB,AREA1,エフエム青森
IBC,AREA1,IBCラジオ
FMI,AREA1,エフエム岩手
TBC,AREA1,TBCラジオ
DATEFM,AREA1,エフエム仙台
YBC,AREA1,YBC山形放送
RFC,AREA1,RFCラジオ福島
FMF,AREA1,ふくしまFM
TBS,AREA2,TBSラジオ
QRR,AREA2,文化放送
LFR,AREA2,ニッポン放送
INT,AREA2,InterFM
FMT,AREA2,TOKYO FM
FMJ,AREA2,J-WAVE
JORF,AREA2,ラジオ日本
YFM,AREA2,FMヨコハマ
BAYFM78,AREA2,bayfm78
NACK5,AREA2,NACK5
IBS,AREA2,IBS茨城放送
RADIOBERRY,AREA2,RadioBerry
CRT,AREA2,CRT栃木放送
FMGUNMA,AREA2,FM GUNMA
SBC,AREA3,SBCラジオ
FMN,AREA3,FM長野
FM-FUJI,AREA3,FM-FUJI
BSN,AREA3,BSNラジオ
FMNIIGATA,AREA3,FM NIIGATA
FMPORT,AREA3,FM PORT
KNB,AREA3,KNBラジオ
FMTOYAMA,AREA3,FMとやま
MRO,AREA3,MRO北陸放送
HELLOFIVE,AREA3,エフエム石川
FBC,AREA3,FBCラジオ
SBC,AREA4,SBCラジオ
K-MIX,AREA4,K-mix SHIZUOKA
CBC,AREA4,CBCラジオ
TOKAIRADIO,AREA4,東海ラジオ
ZIP-FM,AREA4,ZIP-FM
FMAICHI,AREA4,@FM
RADIONEO,AREA4,RADIO NEO
GBS,AREA4,ぎふチャン
FIGUFU,AREA4,FM GIFU
FMMIE,AREA4,レディオキューブFM三重
MBS,AREA5,MBSラジオ
ABC,AREA5,ABCラジオ
OBC,AREA5,OBCラジオ大阪
CCL,AREA5,FM COCOLO
FMO,AREA5,FM OH!
802,AREA5,FM802
KISSFMKOBE,AREA5,Kiss FM KOBE
CRK,AREA5,CRKラジオ関西
KBS,AREA5,KBS京都ラジオ
ALPHA-STATION,AREA5,α―STATION FM京都
E-RADIO,AREA5,e-radio FM滋賀
WBS,AREA5,wbs和歌山放送
BSS,AREA5,BSSラジオ
RSK,AREA6,RSKラジオ
RCC,AREA6,RCCラジオ
HFM,AREA6,広島FM
KRY,AREA6,KRY山口放送
RNB,AREA6,RNB南海放送
JOEU-FM,AREA6,FM愛媛
RKC,AREA6,RKC高知放送
JRT,AREA6,JRT四国放送
RKB,AREA7,RKBラジオ
KBC,AREA7,KBCラジオ
FMFUKUOKA,AREA7,FM FUKUOKA
CROSSFM,AREA7,cross fm
LOVEFM,AREA7,LOVE FM
NBC,AREA7,NBC長崎放送
FMNAGASAKI,AREA7,FM長崎
RKK,AREA7,RKKラジオ
FMK,AREA7,FMKエフエム熊本
OBS,AREA7,OBSラジオ
FM_OITA,AREA7,エフエム大分
MRT,AREA7,宮崎放送
MBC,AREA7,MBCラジオ
MYUFM,AREA7,μFM
RBC,AREA7,RBCiラジオ
RN1,AREA7,ラジオNIKKEI第1
RN2,AREA7,ラジオNIKKEI第2
HOUSOU-DAIGAKU,AREA7,放送大学
